Old Column,Old Table,New Column,Action,Type Override
agt_assistant_phone,asa$agent,assistant_phone,Rename,
cplyr_alignment,asa$col_player,,"Clean,Delete",
cplyr_2nd_look,asa$col_player,second_look,Rename,
cplyr_2nd_look_last_update,second_look_last_update,Rename,
cplyr_awards_honors,asa$col_player,all_star_game_2,Rename,
cplyr_beeper,asa$col_player,,Delete,
cplyr_birth_dt,asa$col_player,,Retype,Date
cplyr_board_alert,asa$col_player,wingspan,Rename,
cplyr_board_grade,asa$col_player,,Retype,
cplyr_board_number,asa$col_player,,Delete,
cplyr_board_position,asa$col_player,,Delete,
cplyr_board_round,asa$col_player,,Delete,
cplyr_board_row,asa$col_player,,Delete,
cplyr_board_slot,asa$col_player,admin_slot,Rename,
cplyr_board_type,asa$col_player,,Delete,
cplyr_bods_fat_free_mass,asa$col_player,,Delete,
cplyr_bods_fat_mass,asa$col_player,,Delete,
cplyr_bods_pct_fat,asa$col_player,,Delete,
cplyr_body_type,asa$col_player,,Delete,
cplyr_camp,asa$col_player,indy_attend,Rename,
cplyr_camp_jersey,asa$col_player,,Delete,
cplyr_camp_scout,asa$col_player,tag_code,rename,
cplyr_cid,asa$col_player,ghost,Rename,
cplyr_cid_cd,asa$col_player,,Delete,
cplyr_club,asa$col_player,,Delete,
cplyr_combine_interview,asa$col_player,interview_topics,Rename,
cplyr_combine_tst,asa$col_player,test_2,Rename,
cplyr_combine_tst_attempted,asa$col_player,test_2_attempted,Rename,
cplyr_combine_tst_times_taken,asa$col_player,test_2_times_taken,Rename,
cplyr_combine_tst_vrfy,asa$col_player,,Delete,
cplyr_comments,asa$col_player,player_notes,Rename,
cplyr_crtd_db_id,asa$col_player,,Delete,
cplyr_cti_grade,asa$col_player,primary_alert,Rename,
cplyr_dl_state,asa$col_player,,Delete,
cplyr_durability,asa$col_player,,Delete,
cplyr_final_grade_descr,asa$col_player,,Delete,
cplyr_ghst_last_update,asa$col_player,,Retype,Date
cplyr_grade_a,asa$col_player,,Delete,
cplyr_grade_b,asa$col_player,,Delete,
cplyr_grade_c,asa$col_player,,Delete,
cplyr_group_number,asa$col_player,indy_group,Rename,
cplyr_injury_dt,asa$col_player,,Delete,
cplyr_injury_ind,asa$col_player,tag_alert_c,Rename,
cplyr_injury_prone,asa$col_player,tag_alert_d,Rename,
cplyr_injury_risk_grade,asa$col_player,,Delete,
cplyr_injury_srch_dt,asa$col_player,,Delete,
cplyr_interview,asa$col_player,,Delete,
cplyr_latest_cti_grade,asa$col_player,,Delete,
cplyr_latest_letter_grade,asa$col_player,,Delete,
cplyr_latest_number_grade,asa$col_player,,Delete,
cplyr_letter_grade,asa$col_player,primary_type,Rename,
cplyr_limiting_phys_factor,asa$col_player,tag_alert_m,Rename,
cplyr_load_dt,asa$col_player,,Delete,
cplyr_marked,asa$col_player,all_star_game_1,Rename,
cplyr_misc_1,asa$col_player,all_star_squad_1,Rename,
cplyr_nep_cti_grade,asa$col_player,,Delete,
cplyr_nep_letter_grade,asa$col_player,,Delete,
cplyr_nep_number_grade,asa$col_player,,Delete,
cplyr_nep_scout_cd,asa$col_player,,Delete,
cplyr_nfl_slot,asa$col_player,,Delete,
cplyr_number_grade,asa$col_player,primary_grade,Rename,
cplyr_oth_addr1,asa$col_player,,Delete,
cplyr_oth_addr2,asa$col_player,,Delete,
cplyr_oth_city,asa$col_player,,Delete,
cplyr_oth_name,asa$col_player,legal_name,Rename,
cplyr_oth_phone,asa$col_player,,Delete,
cplyr_oth_state,asa$col_player,,Delete,
cplyr_oth_zip,asa$col_player,,Delete,
cplyr_pick,asa$col_player,,Delete,
cplyr_production,asa$col_player,character_profile,Rename,
cplyr_recovers_quickly,asa$col_player,tag_alert_h,Rename,
cplyr_reject_cd,asa$col_player,roster_status,Rename,
cplyr_round,asa$col_player,,Delete,
cplyr_spd_dt,asa$col_player,spd2_dt,Rename,Date
cplyr_ssn,asa$col_player,,Delete,
cplyr_tap,asa$col_player,tap_traffic_light,Rename,
cplyr_transmit_ind,asa$col_player,,Delete,
cplyr_tst,asa$col_player,test_1,Rename,
